airport,airport_name,busy
SAV,"Savannah, GA: Savannah/Hilton Head International",0
SDF,"Louisville, KY: Louisville Muhammad Ali International",0
SGF,"Springfield, MO: Springfield-Branson National",0
SHV,"Shreveport, LA: Shreveport Regional",0
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",0
SPI,"Springfield, IL: Abraham Lincoln Capital",0
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",0
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",0
STL,"St. Louis, MO: St Louis Lambert International",0
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",0
SWO,"Stillwater, OK: Stillwater Regional",0
SYR,"Syracuse, NY: Syracuse Hancock International",0
TLH,"Tallahassee, FL: Tallahassee International",0
TOL,"Toledo, OH: Toledo Express",0
TUL,"Tulsa, OK: Tulsa International",0
TVC,"Traverse City, MI: Cherry Capital",0
TXK,"Texarkana, AR: Texarkana Regional-Webb Field",0
TYR,"Tyler, TX: Tyler Pounds Regional",0
TYS,"Knoxville, TN: McGhee Tyson",0
XNA,"Fayetteville, AR: Northwest Arkansas Regional",0
ACY,"Atlantic City, NJ: Atlantic City International",0
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1
AVL,"Asheville, NC: Asheville Regional",0
BDL,"Hartford, CT: Bradley International",0
BOS,"Boston, MA: Logan International",1
BQN,"Aguadilla, PR: Rafael Hernandez",0
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1
CAK,"Akron, OH: Akron-Canton Regional",0
CLE,"Cleveland, OH: Cleveland-Hopkins International",0
CMH,"Columbus, OH: John Glenn Columbus International",0
DEN,"Denver, CO: Denver International",1
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1
DTW,"Detroit, MI: Detroit Metro Wayne County",1
EWR,"Newark, NJ: Newark Liberty International",1
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1
GSO,"Greensboro/High Point, NC: Piedmont Triad International",0
IAG,"Niagara Falls, NY: Niagara Falls International",0
IAH,"Houston, TX: George Bush Intercontinental/Houston",1
JAX,"Jacksonville, FL: Jacksonville International",0
LAS,"Las Vegas, NV: McCarran International",1
LAX,"Los Angeles, CA: Los Angeles International",1
LBE,"Latrobe, PA: Arnold Palmer Regional",0
LGA,"New York, NY: LaGuardia",1
MCI,"Kansas City, MO: Kansas City International",0
MCO,"Orlando, FL: Orlando International",1
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1
MSY,"New Orleans, LA: Louis Armstrong New Orleans International",0
MYR,"Myrtle Beach, SC: Myrtle Beach International",0
OAK,"Oakland, CA: Metropolitan Oakland International",0
ORD,"Chicago, IL: Chicago O'Hare International",1
PBG,"Plattsburgh, NY: Plattsburgh International",0
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",0
PDX,"Portland, OR: Portland International",1
PHL,"Philadelphia, PA: Philadelphia International",1
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1
PIT,"Pittsburgh, PA: Pittsburgh International",0
RIC,"Richmond, VA: Richmond International",0
RSW,"Fort Myers, FL: Southwest Florida International",0
SAN,"San Diego, CA: San Diego International",1
SEA,"Seattle, WA: Seattle/Tacoma International",1
SJU,"San Juan, PR: Luis Munoz Marin International",0
STT,"Charlotte Amalie, VI: Cyril E King",0
TPA,"Tampa, FL: Tampa International",1
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",0
AGS,"Augusta, GA: Augusta Regional at Bush Field",0
ALB,"Albany, NY: Albany International",0
ART,"Watertown, NY: Watertown International",0
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",0
BGR,"Bangor, ME: Bangor International",0
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",0
BNA,"Nashville, TN: Nashville International",0
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",0
BTV,"Burlington, VT: Burlington International",0
BUF,"Buffalo, NY: Buffalo Niagara International",0
CAE,"Columbia, SC: Columbia Metropolitan",0
CHA,"Chattanooga, TN: Lovell Field",0
CHO,"Charlottesville, VA: Charlottesville Albemarle",0
CHS,"Charleston, SC: Charleston AFB/International",0
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",0
CLT,"Charlotte, NC: Charlotte Douglas International",1
CRW,"Charleston/Dunbar, WV: Yeager",0
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",0
DAB,"Daytona Beach, FL: Daytona Beach International",0
DAY,"Dayton, OH: James M Cox/Dayton International",0
DCA,"Washington, DC: Ronald Reagan Washington National",1
DSM,"Des Moines, IA: Des Moines International",0
EVV,"Evansville, IN: Evansville Regional",0
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",0
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",0
GNV,"Gainesville, FL: Gainesville Regional",0
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",0
GRR,"Grand Rapids, MI: Gerald R. Ford International",0
GSP,"Greer, SC: Greenville-Spartanburg International",0
HPN,"White Plains, NY: Westchester County",0
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",0
HVN,"New Haven, CT: Tweed New Haven",0
IAD,"Washington, DC: Washington Dulles International",1
ILM,"Wilmington, NC: Wilmington International",0
IND,"Indianapolis, IN: Indianapolis International",0
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",0
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",0
JFK,"New York, NY: John F. Kennedy International",1
LAN,"Lansing, MI: Capital Region International",0
LEX,"Lexington, KY: Blue Grass",0
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",0
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",0
MDT,"Harrisburg, PA: Harrisburg International",0
MEM,"Memphis, TN: Memphis International",0
MGM,"Montgomery, AL: Montgomery Regional",0
MHT,"Manchester, NH: Manchester-Boston Regional",0
MKE,"Milwaukee, WI: General Mitchell International",0
MLB,"Melbourne, FL: Melbourne International",0
MOB,"Mobile, AL: Mobile Regional",0
MSN,"Madison, WI: Dane County Regional-Truax Field",0
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",0
OKC,"Oklahoma City, OK: Will Rogers World",0
OMA,"Omaha, NE: Eppley Airfield",0
ORF,"Norfolk, VA: Norfolk International",0
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",0
PIA,"Peoria, IL: General Downing - Peoria International",0
PNS,"Pensacola, FL: Pensacola International",0
PVD,"Providence, RI: Theodore Francis Green State",0
PWM,"Portland, ME: Portland International Jetport",0
RDU,"Raleigh/Durham, NC: Raleigh-Durham International",0
ROC,"Rochester, NY: Greater Rochester International",0
SAT,"San Antonio, TX: San Antonio International",0
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",0
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",0
ABQ,"Albuquerque, NM: Albuquerque International Sunport",0
ABR,"Aberdeen, SD: Aberdeen Regional",0
ABY,"Albany, GA: Southwest Georgia Regional",0
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",0
APN,"Alpena, MI: Alpena County Regional",0
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",0
ATW,"Appleton, WI: Appleton International",0
AUS,"Austin, TX: Austin - Bergstrom International",0
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",0
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",0
BFL,"Bakersfield, CA: Meadows Field",0
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",0
BIL,"Billings, MT: Billings Logan International",0
BIS,"Bismarck/Mandan, ND: Bismarck Municipal",0
BJI,"Bemidji, MN: Bemidji Regional",0
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",0
BOI,"Boise, ID: Boise Air Terminal",0
BQK,"Brunswick, GA: Brunswick Golden Isles",0
BRD,"Brainerd, MN: Brainerd Lakes Regional",0
BRO,"Brownsville, TX: Brownsville South Padre Island International",0
BTM,"Butte, MT: Bert Mooney",0
BUR,"Burbank, CA: Bob Hope",0
BZN,"Bozeman, MT: Bozeman Yellowstone International",0
CDC,"Cedar City, UT: Cedar City Regional",0
CGI,"Cape Girardeau, MO: Cape Girardeau Regional",0
CIU,"Sault Ste. Marie, MI: Chippewa County International",0
CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",0
CLL,"College Station/Bryan, TX: Easterwood Field",0
CMX,"Hancock/Houghton, MI: Houghton County Memorial",0
CNY,"Moab, UT: Canyonlands Field",0
COD,"Cody, WY: Yellowstone Regional",0
COS,"Colorado Springs, CO: City of Colorado Springs Municipal",0
COU,"Columbia, MO: Columbia Regional",0
CPR,"Casper, WY: Casper/Natrona County International",0
CRP,"Corpus Christi, TX: Corpus Christi International",0
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",0
DAL,"Dallas, TX: Dallas Love Field",0
DHN,"Dothan, AL: Dothan Regional",0
DLH,"Duluth, MN: Duluth International",0
DRO,"Durango, CO: Durango La Plata County",0
DVL,"Devils Lake, ND: Devils Lake Regional",0
EAR,"Kearney, NE: Kearney Regional",0
EAU,"Eau Claire, WI: Chippewa Valley Regional",0
ECP,"Panama City, FL: Northwest Florida Beaches International",0
EGE,"Eagle, CO: Eagle County Regional",0
EKO,"Elko, NV: Elko Regional",0
ELP,"El Paso, TX: El Paso International",0
ERI,"Erie, PA: Erie International/Tom Ridge Field",0
ESC,"Escanaba, MI: Delta County",0
EUG,"Eugene, OR: Mahlon Sweet Field",0
FAR,"Fargo, ND: Hector International",0
FAT,"Fresno, CA: Fresno Yosemite International",0
FCA,"Kalispell, MT: Glacier Park International",0
FLG,"Flagstaff, AZ: Flagstaff Pulliam",0
FNT,"Flint, MI: Bishop International",0
FSD,"Sioux Falls, SD: Joe Foss Field",0
FWA,"Fort Wayne, IN: Fort Wayne International",0
GCC,"Gillette, WY: Gillette Campbell County",0
GEG,"Spokane, WA: Spokane International",0
GFK,"Grand Forks, ND: Grand Forks International",0
GJT,"Grand Junction, CO: Grand Junction Regional",0
GRB,"Green Bay, WI: Green Bay Austin Straubel International",0
GTF,"Great Falls, MT: Great Falls International",0
HDN,"Hayden, CO: Yampa Valley",0
HIB,"Hibbing, MN: Range Regional",0
HLN,"Helena, MT: Helena Regional",0
HOU,"Houston, TX: William P Hobby",0
HYS,"Hays, KS: Hays Regional",0
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",0
IDA,"Idaho Falls, ID: Idaho Falls Regional",0
IMT,"Iron Mountain/Kingsfd, MI: Ford",0
INL,"International Falls, MN: Falls International Einarson Field",0
ISN,"Williston, ND: Sloulin Field International",0
JAC,"Jackson, WY: Jackson Hole",0
JLN,"Joplin, MO: Joplin Regional",0
JMS,"Jamestown, ND: Jamestown Regional",0
LAR,"Laramie, WY: Laramie Regional",0
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",0
LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field",0
LBL,"Liberal, KS: Liberal Mid-America Regional",0
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",0
LGB,"Long Beach, CA: Long Beach Airport",0
LNK,"Lincoln, NE: Lincoln Airport",0
LRD,"Laredo, TX: Laredo International",0
LSE,"La Crosse, WI: La Crosse Regional",0
LWB,"Lewisburg, WV: Greenbrier Valley",0
LWS,"Lewiston, ID: Lewiston Nez Perce County",0
MAF,"Midland/Odessa, TX: Midland International Air and Space Port",0
MBS,"Saginaw/Bay City/Midland, MI: MBS International",0
MDW,"Chicago, IL: Chicago Midway International",1
MEI,"Meridian, MS: Key Field",0
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",0
MFR,"Medford, OR: Rogue Valley International - Medford",0
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",0
MKG,"Muskegon, MI: Muskegon County",0
MLI,"Moline, IL: Quad City International",0
MLU,"Monroe, LA: Monroe Regional",0
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport",0
MOT,"Minot, ND: Minot International",0
MQT,"Marquette, MI: Sawyer International",0
MRY,"Monterey, CA: Monterey Regional",0
MSO,"Missoula, MT: Missoula International",0
MTJ,"Montrose/Delta, CO: Montrose Regional",0
ONT,"Ontario, CA: Ontario International",0
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional",0
PAH,"Paducah, KY: Barkley Regional",0
PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",0
PIH,"Pocatello, ID: Pocatello Regional",0
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County",0
PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field",0
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",0
PSP,"Palm Springs, CA: Palm Springs International",0
PUB,"Pueblo, CO: Pueblo Memorial",0
RAP,"Rapid City, SD: Rapid City Regional",0
RDD,"Redding, CA: Redding Municipal",0
RDM,"Bend/Redmond, OR: Roberts Field",0
RHI,"Rhinelander, WI: Rhinelander/Oneida County",0
RKS,"Rock Springs, WY: Southwest Wyoming Regional",0
RNO,"Reno, NV: Reno/Tahoe International",0
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",0
ROW,"Roswell, NM: Roswell International Air Center",0
RST,"Rochester, MN: Rochester International",0
SAF,"Santa Fe, NM: Santa Fe Municipal",0
SBA,"Santa Barbara, CA: Santa Barbara Municipal",0
SBN,"South Bend, IN: South Bend International",0
SBP,"San Luis Obispo, CA: San Luis County Regional",0
SCE,"State College, PA: University Park",0
SFO,"San Francisco, CA: San Francisco International",1
SGU,"St. George, UT: St George Regional",0
SHD,"Staunton, VA: Shenandoah Valley Regional",0
SJC,"San Jose, CA: Norman Y. Mineta San Jose International",0
SLC,"Salt Lake City, UT: Salt Lake City International",1
SLN,"Salina, KS: Salina Regional",0
SMF,"Sacramento, CA: Sacramento International",0
SNA,"Santa Ana, CA: John Wayne Airport-Orange County",0
STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",0
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",0
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International",0
TUS,"Tucson, AZ: Tucson International",0
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",0
UIN,"Quincy, IL: Quincy Regional-Baldwin Field",0
VEL,"Vernal, UT: Vernal Regional",0
VLD,"Valdosta, GA: Valdosta Regional",0
YUM,"Yuma, AZ: Yuma MCAS/Yuma International",0
ANC,"Anchorage, AK: Ted Stevens Anchorage International",0
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",0
GUM,"Guam, TT: Guam International",0
HNL,"Honolulu, HI: Daniel K Inouye International",1
ITO,"Hilo, HI: Hilo International",0
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",0
LIH,"Lihue, HI: Lihue Airport",0
MIA,"Miami, FL: Miami International",1
OGG,"Kahului, HI: Kahului Airport",0
SPN,"Saipan, TT: Francisco C. Ada Saipan International",0
AMA,"Amarillo, TX: Rick Husband Amarillo International",0
HRL,"Harlingen/San Benito, TX: Valley International",0
ISP,"Islip, NY: Long Island MacArthur",0
LBB,"Lubbock, TX: Lubbock Preston Smith International",0
FSM,"Fort Smith, AR: Fort Smith Regional",0
EYW,"Key West, FL: Key West International",0
HHH,"Hilton Head, SC: Hilton Head Airport",0
AEX,"Alexandria, LA: Alexandria International",0
CSG,"Columbus, GA: Columbus Airport",0
CWA,"Mosinee, WI: Central Wisconsin",0
GTR,"Columbus, MS: Golden Triangle Regional",0
STX,"Christiansted, VI: Henry E. Rohlsen",0
ADK,"Adak Island, AK: Adak",0
ADQ,"Kodiak, AK: Kodiak Airport",0
BET,"Bethel, AK: Bethel Airport",0
BLI,"Bellingham, WA: Bellingham International",0
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",0
CDV,"Cordova, AK: Merle K Mudhole Smith",0
FAI,"Fairbanks, AK: Fairbanks International",0
JNU,"Juneau, AK: Juneau International",0
KTN,"Ketchikan, AK: Ketchikan International",0
OME,"Nome, AK: Nome Airport",0
OTZ,"Kotzebue, AK: Ralph Wien Memorial",0
PSG,"Petersburg, AK: Petersburg James A Johnson",0
SCC,"Deadhorse, AK: Deadhorse Airport",0
SIT,"Sitka, AK: Sitka Rocky Gutierrez",0
WRG,"Wrangell, AK: Wrangell Airport",0
YAK,"Yakutat, AK: Yakutat Airport",0
ORH,"Worcester, MA: Worcester Regional",0
PSE,"Ponce, PR: Mercedita",0
GRK,"Killeen, TX: Robert Gray AAF",0
HOB,"Hobbs, NM: Lea County Regional",0
LCH,"Lake Charles, LA: Lake Charles Regional",0
PSM,"Portsmouth, NH: Portsmouth International at Pease",0
TTN,"Trenton, NJ: Trenton Mercer",0
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",0
BLV,"Belleville, IL: Scott AFB/MidAmerica",0
ELM,"Elmira/Corning, NY: Elmira/Corning Regional",0
GRI,"Grand Island, NE: Central Nebraska Regional",0
HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",0
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field",0
LCK,"Columbus, OH: Rickenbacker International",0
OGD,"Ogden, UT: Ogden-Hinckley",0
OGS,"Ogdensburg, NY: Ogdensburg International",0
OWB,"Owensboro, KY: Owensboro Daviess County Regional",0
PGD,"Punta Gorda, FL: Punta Gorda Airport",0
PIE,"St. Petersburg, FL: St Pete Clearwater International",0
PVU,"Provo, UT: Provo Municipal",0
RFD,"Rockford, IL: Chicago/Rockford International",0
SCK,"Stockton, CA: Stockton Metropolitan",0
SFB,"Sanford, FL: Orlando Sanford International",0
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",0
STC,"St. Cloud, MN: St. Cloud Regional",0
USA,"Concord, NC: Concord Padgett Regional",0
PPG,"Pago Pago, TT: Pago Pago International",0
ABI,"Abilene, TX: Abilene Regional",0
ACT,"Waco, TX: Waco Regional",0
ALO,"Waterloo, IA: Waterloo Regional",0
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",0
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",0
DBQ,"Dubuque, IA: Dubuque Regional",0
DRT,"Del Rio, TX: Del Rio International",0
GCK,"Garden City, KS: Garden City Regional",0
GGG,"Longview, TX: East Texas Regional",0
PAE,"Everett, WA: Snohomish County",0
BKG,"Branson, MO: Branson Airport",0
ATY,"Watertown, SD: Watertown Regional",0
PIR,"Pierre, SD: Pierre Regional",0
BFM,"Mobile, AL: Mobile Downtown",0
WYS,"West Yellowstone, MT: Yellowstone",0
ACK,"Nantucket, MA: Nantucket Memorial",0
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",0
AKN,"King Salmon, AK: King Salmon Airport",0
DLG,"Dillingham, AK: Dillingham Airport",0
GST,"Gustavus, AK: Gustavus Airport",0
HYA,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",0
CLD,"Carlsbad, CA: McClellan-Palomar",0
CEC,"Crescent City, CA: Jack McNamara Field",0
CIC,"Chico, CA: Chico Municipal",0
IPL,"El Centro, CA: Imperial County",0
IYK,"Inyokern, CA: Inyokern Airport",0
MOD,"Modesto, CA: Modesto City-County-Harry Sham Field",0
LMT,"Klamath Falls, OR: Crater Lake Klamath Regional",0
PGV,"Greenville, NC: Pitt Greenville",0
XWA,"Williston, ND: Williston Basin International",0
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",0
MCN,"Macon, GA: Middle Georgia Regional",0
ILG,"Wilmington, DE: New Castle",0
UST,"St. Augustine, FL: Northeast Florida Regional",0
FOE,"Topeka, KS: Topeka Regional",0
IFP,"Bullhead City, AZ: Laughlin/Bullhead International",0
FNL,"Fort Collins/Loveland, CO: Northern Colorado Regional",0
ENV,"Wendover, UT: Wendover Airport",0
TKI,"Tokeen, AK: Tokeen Airport",0
YNG,"Youngstown/Warren, OH: Youngstown-Warren Regional",0
FLO,"Florence, SC: Florence Regional",0
EFD,"Houston, TX: Ellington",0
